TUCASEID,TULINENO,TUYEAR,TUMONTH,TEABSRSN,TEERN,TEERNH1O,TEERNH2,TEERNHRO,TEERNHRY,TEERNPER,TEERNRT,TEERNUOT,TEERNWKP,TEHRFTPT,TEHRUSL1,TEHRUSL2,TEHRUSLT,TEIO1COW,TEIO1ICD,TEIO1OCD,TELAYAVL,TELAYLK,TELFS,TELKAVL,TELKM1,TEMJOT,TERET1,TESCHENR,TESCHFT,TESCHLVL,TESPEMPNOT,TESPUHRS,TRCHILDNUM,TRDPFTPT,TRDTIND1,TRDTOCC1,TRERNHLY,TRERNUPD,TRERNWA,TRHERNAL,TRHHCHILD,TRHOLIDAY,TRIMIND1,TRMJIND1,TRMJOCC1,TRMJOCGR,TRNHHCHILD,TRNUMHOU,TROHHCHILD,TRSPFTPT,TRSPPRES,TRTALONE,TRTALONE_WK,TRTCC,TRTCCC,TRTCCC_WK,TRTCCTOT,TRTCHILD,TRTCOC,TRTEC,TRTFAMILY,TRTFRIEND,TRTHH,TRTHHFAMILY,TRTNOCHILD,TRTNOHH,TRTO,TRTOHH,TRTOHHCHILD,TRTONHH,TRTONHHCHILD,TRTSPONLY,TRTSPOUSE,TRTUNMPART,TRWERNAL,TRYHHCHILD,TTHR,TTOT,TTWK,TUABSOT,TUBUS,TUBUS1,TUBUS2OT,TUBUSL1,TUBUSL2,TUBUSL3,TUBUSL4,TUCC2,TUCC4,TUCC5B_CK,TUCC5_CK,TUCC9,TUDIARYDATE,TUDIARYDAY,TUDIS,TUDIS1,TUDIS2,TUECYTD,TUELDER,TUELFREQ,TUELNUM,TUERN2,TUERNH1C,TUFINLWGT,TUFWK,TUIO1MFG,TUIODP1,TUIODP2,TUIODP3,TULAY,TULAY6M,TULAYAVR,TULAYDT,TULK,TULKAVR,TULKDK1,TULKDK2,TULKDK3,TULKDK4,TULKDK5,TULKDK6,TULKM2,TULKM3,TULKM4,TULKM5,TULKM6,TULKPS1,TULKPS2,TULKPS3,TULKPS4,TULKPS5,TULKPS6,TURETOT,TUSPABS,TUSPUSFT,TUSPWK,TXABSRSN,TXERN,TXERNH1O,TXERNH2,TXERNHRO,TXERNHRY,TXERNPER,TXERNRT,TXERNUOT,TXERNWKP,TXHRFTPT,TXHRUSL1,TXHRUSL2,TXHRUSLT,TXIO1COW,TXIO1ICD,TXIO1OCD,TXLAYAVL,TXLAYLK,TXLFS,TXLKAVL,TXLKM1,TXMJOT,TXRET1,TXSCHENR,TXSCHFT,TXSCHLVL,TXSPEMPNOT,TXSPUHRS,TXTCC,TXTCCTOT,TXTCOC,TXTHH,TXTNOHH,TXTO,TXTOHH,TXTONHH,TRLVMODR
20240101240295,1,2024,1,-1,-1,-1,-1,-1,2,2,2,2,-1,-1,040,-1,040,4,3291,1400,-1,-1,1,-1,-1,2,-1,2,-1,-1,2,-1,0,1,7,4,-1,1,125000,-1,2,0,4,4,2,1,2,3,2,-1,2,115,135,0,0,510,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,-1,0,0,0,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20240129,2,-1,-1,-1,-1,2,-1,-1,-1,-1,38701702.346653,1,1,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,2,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,-1,-1,0,-1,-1,0,-1,0,1,1,0,-1,-1,0,0,-1,-1,-1,-1,-1,1
20240101240500,1,2024,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,2,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,2,3,2,-1,3,344,344,120,0,0,120,450,0,489,0,0,120,0,450,120,0,0,0,0,0,0,0,0,-1,2,0,0,0,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20240125,5,-1,-1,-1,1,1,1,1,-1,-1,11033368.149153,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,1,1,0,1,1,-1,-1,-1,-1
20240101240512,1,2024,1,-1,-1,-1,-1,-1,2,6,2,1,52,-1,048,-1,048,1,6370,5550,-1,-1,1,-1,-1,2,-1,-1,-1,-1,1,-4,0,1,23,17,-1,0,130769,-1,2,0,8,6,5,3,2,2,2,3,1,760,760,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20240126,6,-1,-1,-1,-1,2,-1,-1,-1,-1,25739908.473625,1,4,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,-1,-1,0,-1,-1,0,-1,-1,-1,-1,0,0,-1,0,0,-1,-1,-1,-1,-1,1
20240101240519,1,2024,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,2,-1,-1,-1,2,-1,0,-1,-1,-1,-1,-1,-1,-1,2,0,-1,-1,-1,-1,2,2,2,-1,1,110,110,0,0,0,0,0,0,-1,715,0,0,715,0,0,0,0,0,0,0,640,715,0,-1,-1,0,0,0,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20240128,1,-1,-1,-1,-1,2,-1,-1,-1,-1,2900091.365388,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1
20240101240533,1,2024,1,-1,-1,-1,1700,-1,1,2,1,2,-1,-1,040,-1,040,4,4971,9620,-1,-1,1,-1,-1,2,-1,2,-1,-1,-1,-1,2,1,22,22,1700,1,68000,0,1,0,7,5,10,6,2,3,1,-1,3,165,165,285,0,0,285,420,0,-1,420,435,285,420,0,0,285,285,420,0,0,0,0,0,0,10,0,0,0,-1,2,-1,-1,-1,-1,-1,-1,-2,21:00:00,-1,-1,-1,20240128,1,-1,-1,-1,-1,2,-1,-1,-1,-1,4509486.521252,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,-1,-1,0,-1,-1,0,-1,0,1,1,-1,-1,0,0,0,0,-1,0,0,-1,1
20240101240541,1,2024,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,045,-1,045,7,6380,5510,-1,-1,1,-1,-1,2,-1,2,-1,-1,-1,-1,0,1,23,17,-1,-1,-1,-1,2,0,8,6,5,3,2,3,2,-1,3,330,720,0,0,0,0,0,0,-1,60,0,0,60,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20240123,3,-1,-1,-1,-1,2,-1,-1,-1,-1,60985806.652216,1,4,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,0,0,0,0,-1,-1,0,-1,-1,0,-1,0,1,1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1
20240101240543,1,2024,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,2,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,2,0,-1,-1,-1,-1,2,1,2,-1,3,315,315,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20240130,3,-1,-1,-1,-1,2,-1,-1,-1,-1,5948065.421242,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1
20240101240549,1,2024,1,-1,-1,-1,-1,-1,2,6,2,2,52,-1,050,-1,050,5,7870,3090,-1,-1,1,-1,-1,2,-1,2,-1,-1,1,40,2,1,40,10,-1,0,288461,-1,1,0,15,10,2,1,2,4,1,1,1,175,175,240,25,445,240,305,0,-1,305,0,240,305,25,0,240,240,305,0,0,0,205,0,0,4,0,0,1,-1,2,-1,-1,-1,-1,-1,-1,05:45:00,20:30:00,-1,-1,-1,20240126,6,-1,-1,-1,-1,2,-1,-1,-1,-1,16658190.661855,1,4,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,-1,-1,0,-1,-1,0,-1,0,1,1,0,0,0,0,0,0,-1,0,0,-1,1
20240101240566,1,2024,1,-1,-1,5384,-1,40,1,1,-1,2,-1,-1,040,-1,040,1,9590,1220,-1,-1,1,-1,-1,2,-1,2,-1,-1,-1,-1,0,1,51,3,5384,0,215360,0,2,0,21,13,2,1,2,1,2,-1,3,315,315,0,0,520,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20240130,3,-1,-1,-1,-1,1,6,-1,-1,-1,12986892.468238,1,4,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,-1,-1,0,-1,-1,0,-1,0,1,1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,1
20240101240571,1,2024,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,1,1,2,2,-1,0,-1,-1,-1,-1,-1,-1,-1,2,0,-1,-1,-1,-1,2,2,2,-1,1,0,0,0,0,0,0,0,0,-1,565,0,0,565,0,0,0,0,0,0,0,565,565,0,-1,-1,0,0,0,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20240130,3,-1,-1,2,-1,2,-1,-1,-1,-1,23188148.382389,5,-1,-1,-1,-1,2,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1
20240101240573,1,2024,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,2,-1,-1,-1,2,-1,0,-1,-1,-1,-1,-1,-1,-1,2,0,-1,-1,-1,-1,2,2,2,-1,1,15,15,0,0,0,0,0,0,-1,675,0,0,675,0,0,0,0,0,0,0,675,675,0,-1,-1,0,0,0,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20240121,1,-1,-1,-1,-1,2,-1,-1,-1,-1,5012784.717678,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1
20240101240575,1,2024,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,2,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,2,0,-1,-1,-1,-1,2,1,2,-1,3,840,840,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20240121,1,-1,-1,-1,-1,2,-1,-1,-1,-1,2495349.546063,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1
20240101240577,1,2024,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,2,-1,-1,1,40,2,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,2,4,1,1,1,0,0,525,0,0,525,735,0,-1,780,0,525,780,0,0,525,525,735,0,0,45,645,0,-1,1,0,0,0,5,1,2,-1,1,-1,-1,-1,07:30:00,21:15:00,-1,-1,-1,20240128,1,-1,-1,2,-1,2,-1,-1,-1,-1,8029926.487504,2,-1,-1,-1,-1,2,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,0,1,1,0,0,0,0,0,0,-1,0,0,-1,-1
20240101240622,1,2024,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,2,-1,-1,-1,2,-1,0,-1,-1,-1,-1,-1,-1,-1,2,0,-1,-1,-1,-1,2,2,2,-1,1,0,0,0,0,0,0,0,0,-1,750,0,0,750,0,0,0,0,0,0,0,750,750,0,-1,-1,0,0,0,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20240130,3,-1,-1,-1,-1,2,-1,-1,-1,-1,8240992.013634,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1
